Data;Arquivo;Caminho;Inativo;Riscos;Tamanho_MB
21/03/2026 21:53;2025-12-02_19-59-36_updaterCrashHandler_a767f4e6-ece6-426d-b197-c0508e9cb2d6.log;C:\ProgramData\Epic\EpicOnlineServices\MainService\Logs\2025-12-02_19-59-36_updaterCrashHandler_a767f4e6-ece6-426d-b197-c0508e9cb2d6.log;NÃO;Credencial;0.007
21/03/2026 21:53;2025-12-02_19-58-58_stdout.log;C:\ProgramData\Epic\EpicOnlineServices\MainService\Logs\2025-12-02_19-58-58_stdout.log;NÃO;Credencial;0.03
21/03/2026 21:53;2025-12-02_19-59-39_updater_a767f4e6-ece6-426d-b197-c0508e9cb2d6.log;C:\ProgramData\Epic\EpicOnlineServices\MainService\Logs\2025-12-02_19-59-39_updater_a767f4e6-ece6-426d-b197-c0508e9cb2d6.log;NÃO;Credencial;0.021
21/03/2026 21:53;2025-12-02_19-58-58_updater.log;C:\ProgramData\Epic\EpicOnlineServices\MainService\Logs\2025-12-02_19-58-58_updater.log;NÃO;Credencial;0.03
21/03/2026 21:53;2025-12-02_19-59-36_updater_a767f4e6-ece6-426d-b197-c0508e9cb2d6.log;C:\ProgramData\Epic\EpicOnlineServices\MainService\Logs\2025-12-02_19-59-36_updater_a767f4e6-ece6-426d-b197-c0508e9cb2d6.log;NÃO;Credencial;0.013
21/03/2026 21:53;2025-12-02_20-09-40_updater_a767f4e6-ece6-426d-b197-c0508e9cb2d6.log;C:\ProgramData\Epic\EpicOnlineServices\MainService\Logs\2025-12-02_20-09-40_updater_a767f4e6-ece6-426d-b197-c0508e9cb2d6.log;NÃO;Credencial;0.02
21/03/2026 21:53;drrs.conf;C:\ProgramData\Wondershare\Recoverit\drrs.conf;NÃO;Credencial;0.046
21/03/2026 21:53;netrc.py;C:\Python313\Lib\netrc.py;NÃO;Credencial;0.007
21/03/2026 21:53;getpass.py;C:\Python313\Lib\getpass.py;NÃO;Credencial;0.006
21/03/2026 21:53;tarfile.py;C:\Python313\Lib\tarfile.py;NÃO;Credencial;0.108
21/03/2026 21:53;filelist.py;C:\Python313\Lib\idlelib\filelist.py;NÃO;Credencial;0.004
21/03/2026 21:53;_local.py;C:\Python313\Lib\pathlib\_local.py;NÃO;Credencial;0.031
21/03/2026 21:53;_compiler.py;C:\Python313\Lib\re\_compiler.py;NÃO;Credencial;0.026
21/03/2026 21:53;_parser.py;C:\Python313\Lib\re\_parser.py;NÃO;Credencial;0.04
21/03/2026 21:53;_constants.py;C:\Python313\Lib\re\_constants.py;NÃO;Credencial;0.006
21/03/2026 21:53;__init__.py;C:\Python313\Lib\re\__init__.py;NÃO;Credencial;0.017
21/03/2026 21:53;auth.py;C:\Python313\Lib\site-packages\pip\_internal\network\auth.py;NÃO;Credencial;0.02
21/03/2026 21:53;subprocess.py;C:\Python313\Lib\site-packages\pip\_internal\utils\subprocess.py;NÃO;Credencial;0.009
21/03/2026 21:53;subversion.py;C:\Python313\Lib\site-packages\pip\_internal\vcs\subversion.py;NÃO;Credencial;0.011
21/03/2026 21:53;index.py;C:\Python313\Lib\site-packages\pip\_vendor\distlib\index.py;NÃO;Credencial;0.02
21/03/2026 21:53;auth.py;C:\Python313\Lib\site-packages\pip\_vendor\requests\auth.py;NÃO;Credencial;0.01
21/03/2026 21:53;prompt.py;C:\Python313\Lib\site-packages\pip\_vendor\rich\prompt.py;NÃO;Credencial;0.011
21/03/2026 21:53;ntlmpool.py;C:\Python313\Lib\site-packages\pip\_vendor\urllib3\contrib\ntlmpool.py;NÃO;Credencial;0.004
21/03/2026 21:53;socks.py;C:\Python313\Lib\site-packages\pip\_vendor\urllib3\contrib\socks.py;NÃO;Credencial;0.007
21/03/2026 21:53;request.py;C:\Python313\Lib\site-packages\pip\_vendor\urllib3\util\request.py;NÃO;Credencial;0.004
21/03/2026 21:53;AUTHORS.txt;C:\Python313\Lib\site-packages\pip-24.3.1.dist-info\AUTHORS.txt;NÃO;Credencial;0.01
21/03/2026 21:53;test_getpass.py;C:\Python313\Lib\test\test_getpass.py;NÃO;Credencial;0.006
21/03/2026 21:53;test_netrc.py;C:\Python313\Lib\test\test_netrc.py;NÃO;Credencial;0.012
21/03/2026 21:53;test_os.py;C:\Python313\Lib\test\test_os.py;NÃO;Credencial;0.202
21/03/2026 21:53;test_poplib.py;C:\Python313\Lib\test\test_poplib.py;NÃO;Credencial;0.017
21/03/2026 21:53;test_posix.py;C:\Python313\Lib\test\test_posix.py;NÃO;Credencial;0.098
21/03/2026 21:53;test_pwd.py;C:\Python313\Lib\test\test_pwd.py;NÃO;Credencial;0.004
21/03/2026 21:53;test_shutil.py;C:\Python313\Lib\test\test_shutil.py;NÃO;Credencial;0.14
21/03/2026 21:53;test_subprocess.py;C:\Python313\Lib\test\test_subprocess.py;NÃO;Credencial;0.166
21/03/2026 21:53;test_ssl.py;C:\Python313\Lib\test\test_ssl.py;NÃO;Credencial;0.225
21/03/2026 21:53;test_urllib2net.py;C:\Python313\Lib\test\test_urllib2net.py;NÃO;Credencial;0.014
21/03/2026 21:53;test_urllib2_localnet.py;C:\Python313\Lib\test\test_urllib2_localnet.py;NÃO;Credencial;0.024
21/03/2026 21:53;test_pathlib.py;C:\Python313\Lib\test\test_pathlib\test_pathlib.py;NÃO;Credencial;0.062
21/03/2026 21:53;ElementPath.py;C:\Python313\Lib\xml\etree\ElementPath.py;NÃO;Credencial;0.014
21/03/2026 21:53;__init__.py;C:\Python313\Lib\xml\etree\__init__.py;NÃO;Credencial;0.002
21/03/2026 21:53;ElementInclude.py;C:\Python313\Lib\xml\etree\ElementInclude.py;NÃO;Credencial;0.007
21/03/2026 21:53;client.py;C:\Python313\Lib\xmlrpc\client.py;NÃO;Credencial;0.048
21/03/2026 21:53;ElementTree.py;C:\Python313\Lib\xml\etree\ElementTree.py;NÃO;Credencial;0.073
21/03/2026 21:53;fil-PH.ini;C:\SteamLibrary\steamapps\common\OBS Studio\data\obs-plugins\obs-websocket\locale\fil-PH.ini;NÃO;Credencial;0.003
21/03/2026 21:53;it-IT.ini;C:\SteamLibrary\steamapps\common\OBS Studio\data\obs-plugins\obs-websocket\locale\it-IT.ini;NÃO;Credencial;0.003
21/03/2026 21:53;pt-PT.ini;C:\SteamLibrary\steamapps\common\OBS Studio\data\obs-plugins\obs-websocket\locale\pt-PT.ini;NÃO;Credencial;0.003
21/03/2026 21:53;en-US.ini;C:\SteamLibrary\steamapps\common\OBS Studio\data\obs-plugins\obs-websocket\locale\en-US.ini;NÃO;Credencial;0.003
21/03/2026 21:53;pt-BR.ini;C:\SteamLibrary\steamapps\common\OBS Studio\data\obs-plugins\obs-websocket\locale\pt-BR.ini;NÃO;Credencial;0.003
21/03/2026 21:53;en-US.ini;C:\SteamLibrary\steamapps\common\OBS Studio\data\obs-plugins\win-capture\locale\en-US.ini;NÃO;Credencial;0.003
21/03/2026 21:53;id-ID.ini;C:\SteamLibrary\steamapps\common\OBS Studio\data\obs-plugins\win-capture\locale\id-ID.ini;NÃO;Credencial;0.004
21/03/2026 21:53;ms-MY.ini;C:\SteamLibrary\steamapps\common\OBS Studio\data\obs-plugins\win-capture\locale\ms-MY.ini;NÃO;Credencial;0.004
21/03/2026 21:53;nl-NL.ini;C:\SteamLibrary\steamapps\common\OBS Studio\data\obs-plugins\win-capture\locale\nl-NL.ini;NÃO;Credencial;0.004
21/03/2026 21:53;models.py;C:\Users\moniq\ache-flow-back\models.py;NÃO;Credencial;0.005
21/03/2026 21:53;main.py;C:\Users\moniq\ache-flow-back\main.py;NÃO;Credencial;0.019
21/03/2026 21:53;auth.py;C:\Users\moniq\ache-flow-back\auth.py;NÃO;Credencial;0.002
